;;;;Annuitair Amortisatieschema;;;;;;;;;;;;
;;;Alleen gegevens in het blauw handmatig wijzigen. ;;;;;;;;;;;;;
;;;Input voor amortisatieschema;;Koopsom;;;;Basis voor amortisatieschema;;;;;;;
;;;Bedrag Lening (excl rente); € 24.034.770 ; € 23.563.500 ;;;;Periodieke annuiteit;; € 109.151,21 ;;;;;
;;;Jaarlijkse Interest;5,00%;;;;;Totaal aantal termijnen;;600;;;;;
;;;Leenperiode in jaren;50;;;;;Slottermijn;;;;;;;
;;;Aantal termijnen per jaar;12;;;;;Annuiteit per jaar;; € 1.309.814,50 ;;;;;
;;;Startdatum;31-12-2025;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Nr;Betaaldatum;Beginsaldo;Periodieke Annuiteit;Annuïtaire rente;Annuïtaire aflossing;Jaaraflossing annuïtair;Hoofdsom (feitelijke aflossing);Rente;Eindsaldo;Rente Cumulatief;Rente Resterend;;Jaarrente;Jaaraflossing feitelijk
10;0;22;31-10-2027; € 24.034.770,00 ; € 109.151,21 ;€ 99.323;€ 9.828,11;;; € 100.144,88 ; € 24.034.770,00 ; € 2.203.187,25 ; € 20.320.034,63 ;2027;  ;  
11;0;23;30-11-2027; € 24.034.770,00 ; € 109.151,21 ;€ 99.282;€ 9.869,06;;; € 100.144,88 ; € 24.034.770,00 ; € 2.303.332,13 ; € 20.318.992,96 ;2027;  ;  
12;1;24;31-12-2027; € 24.034.770,00 ; € 109.151,21 ;€ 99.241;€ 9.910,18;€ 116.245; € -   ; € 100.144,88 ; € 24.034.770,00 ; € 2.403.477,00 ; € 20.317.951,29 ;2027; € 1.201.738,50 ; € -   
1;0;25;31-1-2028; € 24.034.770,00 ; € 109.151,21 ;€ 99.200;€ 9.951,47;;; € 100.144,88 ; € 24.034.770,00 ; € 2.503.621,88 ; € 20.316.909,63 ;2028;  ;  
2;0;26;29-2-2028; € 24.034.770,00 ; € 109.151,21 ;€ 99.158;€ 9.992,93;;; € 100.144,88 ; € 24.034.770,00 ; € 2.603.766,75 ; € 20.314.826,29 ;2028;  ;  
3;0;27;31-3-2028; € 24.034.770,00 ; € 109.151,21 ;€ 99.117;€ 10.034,57;;; € 100.144,88 ; € 24.034.770,00 ; € 2.703.911,63 ; € 20.312.742,96 ;2028;  ;  
4;0;28;30-4-2028; € 24.034.770,00 ; € 109.151,21 ;€ 99.075;€ 10.076,38;;; € 100.144,88 ; € 24.034.770,00 ; € 2.804.056,50 ; € 20.310.659,63 ;2028;  ;  
5;0;29;31-5-2028; € 24.034.770,00 ; € 109.151,21 ;€ 99.033;€ 10.118,37;;; € 100.144,88 ; € 24.034.770,00 ; € 2.904.201,38 ; € 20.308.576,29 ;2028;  ;  
6;0;30;30-6-2028; € 24.034.770,00 ; € 109.151,21 ;€ 98.991;€ 10.160,53;;; € 100.144,88 ; € 24.034.770,00 ; € 3.004.346,25 ; € 20.306.492,96 ;2028;  ;  
7;0;31;31-7-2028; € 24.034.770,00 ; € 109.151,21 ;€ 98.948;€ 10.202,86;;; € 100.144,88 ; € 24.034.770,00 ; € 3.104.491,13 ; € 20.304.409,63 ;2028;  ;  
8;0;32;31-8-2028; € 24.034.770,00 ; € 109.151,21 ;€ 98.906;€ 10.245,37;;; € 100.144,88 ; € 24.034.770,00 ; € 3.204.636,00 ; € 20.302.326,29 ;2028;  ;  
9;0;33;30-9-2028; € 24.034.770,00 ; € 109.151,21 ;€ 98.863;€ 10.288,06;;; € 100.144,88 ; € 24.034.770,00 ; € 3.304.780,88 ; € 20.300.242,96 ;2028;  ;  
10;0;34;31-10-2028; € 24.034.770,00 ; € 109.151,21 ;€ 98.820;€ 10.330,93;;; € 100.144,88 ; € 24.034.770,00 ; € 3.404.925,75 ; € 20.298.159,63 ;2028;  ;  
11;0;35;30-11-2028; € 24.034.770,00 ; € 109.151,21 ;€ 98.777;€ 10.373,98;;; € 100.144,88 ; € 24.034.770,00 ; € 3.505.070,63 ; € 20.296.076,29 ;2028;  ;  
12;1;36;31-12-2028; € 24.034.770,00 ; € 109.151,21 ;€ 98.734;€ 10.417,20;€ 122.193; € -   ; € 100.144,88 ; € 24.034.770,00 ; € 3.605.215,50 ; € 20.293.992,96 ;2028; € 1.201.738,50 ; € -   
1;0;37;31-1-2029; € 24.034.770,00 ; € 109.151,21 ;€ 98.691;€ 10.460,61;;; € 100.144,88 ; € 24.034.770,00 ; € 3.705.360,38 ; € 20.291.909,63 ;2029;  ;  
2;0;38;28-2-2029; € 24.034.770,00 ; € 109.151,21 ;€ 98.647;€ 10.504,19;;; € 100.144,88 ; € 24.034.770,00 ; € 3.805.505,25 ; € 20.288.784,63 ;2029;  ;  
3;0;39;31-3-2029; € 24.034.770,00 ; € 109.151,21 ;€ 98.603;€ 10.547,96;;; € 100.144,88 ; € 24.034.770,00 ; € 3.905.650,13 ; € 20.285.659,63 ;2029;  ;  
4;0;40;30-4-2029; € 24.034.770,00 ; € 109.151,21 ;€ 98.559;€ 10.591,91;;; € 100.144,88 ; € 24.034.770,00 ; € 4.005.795,00 ; € 20.282.534,63 ;2029;  ;  
